1,4
1,4
1,4
1,4
1,4
1,4
1,9
1,9
1,9
1,9
2,0
2,0
2,3
2,3
2,3
2,3
2,6
2,6
2,6
2,6
3,0
3,0
3,1
3,1
3,4
3,4
3,6
3,6
3,8
3,8
4,1
4,1
4,2
4,2
4,4
4,4
4,7
4,7
4,9
4,9
5,1
5,1
5,4
5,4
5,6
5,6
5,9
5,9
6,1
6,1
6,3
6,3
6,5
6,5
6,7
6,7
7,0
7,0
7,2
7,2
7,4
7,4
7,6
7,6
7,9
7,9
8,1
8,1
8,4
8,4
8,6
8,6
8,8
8,8
9,0
9,0
9,2
9,2
9,5
9,5
9,7
9,7
10,0
10,0
10,2
10,2
10,4
10,4
10,7
10,7
10,9
10,9
11,2
11,2
11,4
11,4
11,7
11,7
11,8
11,8
12,1
12,1
12,4
12,4
12,6
12,6
12,9
12,9
13,1
13,1
13,3
13,3
13,5
13,5
13,7
13,7
14,0
14,0
14,2
14,2
14,4
14,4
14,6
14,6
14,9
14,9
15,1
15,1
15,3
15,3
15,5
15,5
15,7
15,7
15,9
15,9
16,1
16,1
16,4
16,4
16,5
16,5
16,7
16,7
16,9
16,9
17,1
17,1
17,3
17,3
17,4
17,4
17,7
17,7
17,9
17,9
18,1
18,1
18,2
18,2
18,4
18,4
18,7
18,7
18,8
18,8
18,9
18,9
19,1
19,1
19,4
19,4
19,5
19,5
19,7
19,7
19,9
19,9
20,1
20,1
20,2
20,2
20,5
20,5
20,6
20,6
20,8
20,8
20,9
20,9
21,1
21,1
21,3
21,3
21,3
21,3
21,5
21,5
21,7
21,7
21,9
21,9
22,1
22,1
22,2
22,2
22,4
22,4
22,5
22,5
22,6
22,6
22,8
22,8
22,9
22,9
23,1
23,1
23,3
23,3
23,4
23,4
23,5
23,5
23,7
23,7
23,9
23,9
24,0
24,0
24,1
24,1
24,3
24,3
24,4
24,4
24,5
24,5
24,7
24,7
24,8
24,8
25,0
25,0
25,2
25,2
25,2
25,2
25,3
25,3
25,5
25,5
25,7
25,7
25,8
25,8
25,9
25,9
26,0
26,0
26,2
26,2
26,3
26,3
26,4
26,4
26,4
26,4
26,6
26,6
26,7
26,7
26,8
26,8
26,9
26,9
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,1
27,5
27,5
27,6
27,6
27,6
27,6
27,7
27,7
27,6
27,6
27,6
27,6
27,7
27,7
27,9
27,9
28,0
28,0
27,8
27,8
27,8
27,8
27,8
27,8
27,9
27,9
28,0
28,0
28,1
28,1
28,2
28,2
28,1
28,1
28,2
28,2
28,4
28,4
28,5
28,5
28,6
28,6
28,5
28,5
28,5
28,5
28,5
28,5
28,5
28,5
28,7
28,7
28,4
28,4
28,5
28,5
28,8
28,8
28,7
28,7
28,6
28,6
28,8
28,8
28,9
28,9
29,0
29,0
28,9
28,9
29,0
29,0
28,9
28,9
